"","Nombre","Equipo","Age","Pos","MP","G","FG2p","FG3p","FTp","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","PER","tamanyo","PROB_PRED","TAM_PRED"
"302","Jevon Carter","Phoenix Suns",25,"PG",715,60,0.53,0.37,0.57,16,76,71,29,9,16,56,248,14.47,"Small",0.7834,"Small"
"303","Jimmy Butler","Miami Heat",31,"SF",1745,52,0.54,0.25,0.86,94,265,369,108,18,109,71,1116,30.78,"Small",0.9895,"Small"
"304","Joe Harris","Brooklyn Nets",29,"SF",2140,69,0.56,0.48,0.78,43,205,130,46,14,62,141,974,16.99,"Small",0.8257,"Small"
"305","Joe Ingles","Utah Jazz",33,"SF",1867,67,0.59,0.45,0.84,27,217,318,45,12,117,120,809,18.71,"Small",0.9514,"Small"
"306","Joel Embiid","Philadelphia 76ers",26,"C",1590,51,0.54,0.38,0.86,113,426,145,50,69,159,123,1451,35.47,"Big",0.0133,"Big"
"307","John Collins","Atlanta Hawks",23,"PF",1844,63,0.61,0.4,0.83,118,349,78,34,63,84,193,1111,23.83,"Big",0.0031,"Big"
"308","John Konchar","Memphis Grizzlies",24,"SG",578,43,0.59,0.38,0.83,35,93,47,30,9,18,40,184,17.41,"Small",0.7379,"Small"
"309","John Wall","Houston Rockets",30,"PG",1288,40,0.45,0.32,0.75,17,112,275,42,31,141,46,823,19.85,"Small",0.9677,"Small"
"310","Jonas Valančiūnas","Memphis Grizzlies",28,"C",1757,62,0.61,0.37,0.77,253,523,112,35,57,100,179,1058,28.79,"Big",0,"Big"
"315","Jordan Clarkson","Utah Jazz",28,"SG",1816,68,0.52,0.35,0.9,47,227,168,61,10,115,110,1251,21.01,"Small",0.9611,"Small"
"316","Jordan McLaughlin","Minnesota Timberwolves",24,"PG",942,51,0.45,0.36,0.77,21,87,193,51,6,51,44,256,14.8,"Small",0.9834,"Small"
"317","Jordan Nwora","Milwaukee Bucks",22,"SF",274,30,0.47,0.45,0.76,9,51,7,16,7,24,22,171,20.06,"Small",0.8383,"Small"
"318","Jordan Poole","Golden State Warriors",21,"SG",987,51,0.55,0.35,0.88,15,77,99,26,9,51,86,612,19.66,"Small",0.89,"Small"
"319","Josh Green","Dallas Mavericks",20,"SG",447,39,0.56,0.16,0.57,28,50,28,16,3,17,35,101,10.05,"Small",0.4048,"Big"
"320","Josh Hall","Oklahoma City Thunder",20,"SF",336,21,0.42,0.11,0.5,6,53,28,4,1,25,37,86,2.76,"Small",0.3086,"Big"
"321","Josh Hart","New Orleans Pelicans",25,"SF",1351,47,0.58,0.33,0.78,53,324,109,38,12,49,111,434,14.87,"Small",0.1228,"Big"
"322","Josh Jackson","Detroit Pistons",23,"SG",1562,62,0.49,0.3,0.73,57,197,143,53,47,142,178,828,15.14,"Small",0.7211,"Small"
"323","Josh Okogie","Minnesota Timberwolves",22,"SG",1196,59,0.5,0.27,0.77,63,93,63,54,28,43,123,316,11.11,"Small",0.7945,"Small"
"324","Josh Richardson","Dallas Mavericks",27,"SG",1787,59,0.5,0.33,0.92,51,144,153,61,24,79,130,715,13.98,"Small",0.9492,"Small"
"325","Jrue Holiday","Milwaukee Bucks",30,"PG",1905,59,0.56,0.39,0.79,73,195,357,96,37,127,98,1046,24.1,"Small",0.9933,"Small"
"326","Juan Toscano-Anderson","Golden State Warriors",27,"SG",1108,53,0.72,0.4,0.71,29,205,150,41,26,61,111,301,15.43,"Small",0.5653,"Small"
"327","Juancho Hernangómez","Minnesota Timberwolves",25,"PF",899,52,0.57,0.33,0.62,45,160,35,19,7,27,52,375,15.28,"Big",0.2047,"Big"
"328","Julius Randle","New York Knicks",26,"PF",2666,71,0.47,0.41,0.81,84,639,427,64,18,241,225,1712,22.99,"Big",0.2528,"Big"
"329","Justin Holiday","Indiana Pacers",31,"SG",2181,72,0.49,0.38,0.79,32,224,119,74,41,54,135,756,13.09,"Small",0.873,"Small"
